tf,sensor_log2_selectivity,tf_mrna_log10_ratio
IRF9,2.15283,0.07959
MYC,2.15247,0.22497
PAX3,2.14981,1.45939
MYC,2.14644,0.22497
MAX,2.14571,0.13856
MYC,2.14508,0.22497
E2F2,2.14496,0.546
ATF4,2.14432,0.11374
HDX,2.1395,0.08585
MYC,2.13893,0.22497
E2F3,2.1374,0.35972
MAX,2.13704,0.13856
BHLHE40,2.13617,0.12349
E2F3,2.13545,0.35972
MEF2C,2.13415,0.40985
JDP2,2.13296,0.49816
MYC,2.13286,0.22497
HSF4,2.13272,1.04243
EOMES,2.13266,1.4624
TGIF1,2.13265,0.24022
IRF2,2.13259,-0.18248
MLX,2.13209,0.04225
TFE3,2.13147,-0.02572
MXI1,2.12808,0.36623
CREB3L1,2.12748,-0.29251
SIRT6,2.12625,-0.01814
MYC,2.12573,0.22497
ATF4,2.12549,0.11374
E2F1,2.12547,-0.14567
FOXB1,2.1252,1.39094
HNF4G,2.12518,0.89252
E2F1,2.12516,-0.14567
MAX,2.12292,0.13856
MYC,2.12237,0.22497
IRF4,2.118,-0.17271
MYC,2.11645,0.22497
MYC,2.11609,0.22497
MITF,2.11569,0.30426
E2F3,2.1155,0.35972
E2F1,2.11507,-0.14567
MYC,2.11499,0.22497
TFEB,2.11103,-0.41856
MYC,2.10939,0.22497
POU2F2,2.10733,-0.79029
TFDP1,2.1063,-0.02352
HEY1,2.10423,1.16638
MAX,2.10421,0.13856
E2F3,2.10228,0.35972
E2F1,2.10207,-0.14567
E2F6,2.10205,0.21414
USF1,2.10167,-0.13268
MYC,2.10149,0.22497
BHLHE40,2.10101,0.12349
MTF1,2.09893,0.11672
E2F3,2.09825,0.35972
MYC,2.09821,0.22497
MXI1,2.09525,0.36623
STAT2,2.0947,0.19114
E2F2,2.09332,0.546
MYC,2.09277,0.22497
E2F1,2.08906,-0.14567
MYC,2.08902,0.22497
MNT,2.08761,0.05603
BHLHE40,2.08576,0.12349
MAX,2.0838,0.13856
CREB3L1,2.082,-0.29251
USF1,2.08195,-0.13268
ATF4,2.07939,0.11374
BHLHE41,2.0771,-0.53218
MTF1,2.07706,0.11672
MAX,2.07654,0.13856
E2F4,2.07443,0.14148
E2F2,2.07277,0.546
ZRSR2,2.07151,-0.31794
BHLHE40,2.07036,0.12349
MGA,2.06882,0.06935
E2F1,2.06824,-0.14567
MYC,2.06584,0.22497
BHLHE40,2.06554,0.12349
MYC,2.06487,0.22497
NFE2,2.06211,0.59563
E2F1,2.06166,-0.14567
E2F3,2.05736,0.35972
E2F1,2.0569,-0.14567
CREB3L1,2.05668,-0.29251
E2F1,2.05656,-0.14567
HEY2,2.0556,1.09575
MYC,2.05518,0.22497
MAX,2.05461,0.13856
HOXB13,2.0545,1.17107
HEY2,2.05448,1.09575
E2F2,2.0541,0.546
E2F1,2.05405,-0.14567
BHLHE41,2.05354,-0.53218
MYC,2.05262,0.22497
E2F1,2.05244,-0.14567
PML,2.04912,-0.11118
E2F1,2.04844,-0.14567
IRF9,2.0471,0.07959
CEBPD,2.04528,0.31811
SIRT6,2.04471,-0.01814
MAX,2.04212,0.13856
ERF,2.0419,-0.20753
MYC,2.04114,0.22497
MYC,2.04013,0.22497
MAX,2.03953,0.13856
MTF1,2.03892,0.11672
MSX2,2.03859,1.37658
MAX,2.03576,0.13856
MYC,2.03451,0.22497
MTF1,2.03333,0.11672
E2F5,2.03332,0.52151
TEAD3,2.02927,-0.10294
E2F7,2.02876,-0.21524
MAX,2.02856,0.13856
BHLHE40,2.02844,0.12349
POU2F1,2.02577,0.47712
HEY1,2.02417,1.16638
E2F7,2.02299,-0.21524
XBP1,2.02096,0.09852
JDP2,2.02039,0.49816
CREB1,2.01686,-0.1189
CEBPD,2.01674,0.31811
MYC,2.01599,0.22497
MYC,2.01502,0.22497
MYC,2.01421,0.22497
E2F1,2.01411,-0.14567
HIF1A,2.01385,-0.1013
AGAP2,2.01354,0.60759
IRF9,2.01294,0.07959
TFE3,2.01251,-0.02572
ESRRA,2.01163,0.36686
FOSL2,2.01128,0.07854
CEBPD,2.01043,0.31811
MXI1,2.0096,0.36623
MXI1,2.00937,0.36623
MXI1,2.00782,0.36623
BHLHE40,2.00709,0.12349
IRF1,2.0043,0.07358
RARA,2.00416,-0.25519
E2F2,2.00308,0.546
MYC,2.00095,0.22497
MEIS1,2.00044,-0.46847
MYC,1.99947,0.22497
E2F5,1.99826,0.52151
E2F1,1.99604,-0.14567
E2F6,1.99382,0.21414
IRF9,1.99217,0.07959
MAX,1.9921,0.13856
IRF9,1.99145,0.07959
MXI1,1.99104,0.36623
MAX,1.99054,0.13856
STAT5A,1.9902,-0.10044
TFEB,1.99018,-0.41856
MYC,1.98924,0.22497
STAT1,1.98824,-0.01743
MYC,1.98791,0.22497
MYC,1.98763,0.22497
E2F1,1.98739,-0.14567
E2F2,1.98637,0.546
MYC,1.98608,0.22497
ARNT,1.98253,0.03492
MYC,1.98123,0.22497
BHLHE40,1.98072,0.12349
E2F2,1.97959,0.546
ATF4,1.97656,0.11374
MAX,1.97323,0.13856
JUND,1.97262,-0.03685
E2F4,1.97227,0.14148
MYC,1.96961,0.22497
FOXL1,1.96876,-0.97272
RUNX2,1.96875,-0.44748
E2F3,1.96812,0.35972
SOX18,1.96711,1.26007
E2F1,1.96652,-0.14567
MAX,1.96529,0.13856
FOSL1,1.96403,0.12968
MAX,1.96398,0.13856
MXI1,1.96372,0.36623
MTF1,1.96364,0.11672
E2F4,1.96262,0.14148
E2F1,1.96161,-0.14567
